date,year,month,group_code,group_name,short_name,monthly_variation,source_table
2012-01-01,2012,1,1,Alimentação e bebidas,Alimentação,0.86,1419
2012-01-01,2012,1,2,Habitação,Habitação,0.53,1419
2012-01-01,2012,1,3,Artigos de residência,Residência,0.16,1419
2012-01-01,2012,1,4,Vestuário,Vestuário,0.07,1419
2012-01-01,2012,1,5,Transportes,Transportes,0.69,1419
2012-01-01,2012,1,6,Saúde e cuidados pessoais,Saúde,0.3,1419
2012-01-01,2012,1,7,Despesas pessoais,Pessoais,0.71,1419
2012-01-01,2012,1,8,Educação,Educação,0.39,1419
2012-01-01,2012,1,9,Comunicação,Comunicação,0.21,1419
2012-02-01,2012,2,1,Alimentação e bebidas,Alimentação,0.19,1419
2012-02-01,2012,2,2,Habitação,Habitação,0.6,1419
2012-02-01,2012,2,3,Artigos de residência,Residência,0.06,1419
2012-02-01,2012,2,4,Vestuário,Vestuário,-0.23,1419
2012-02-01,2012,2,5,Transportes,Transportes,-0.33,1419
2012-02-01,2012,2,6,Saúde e cuidados pessoais,Saúde,0.7,1419
2012-02-01,2012,2,7,Despesas pessoais,Pessoais,0.88,1419
2012-02-01,2012,2,8,Educação,Educação,5.62,1419
2012-02-01,2012,2,9,Comunicação,Comunicação,-0.17,1419
2012-03-01,2012,3,1,Alimentação e bebidas,Alimentação,0.25,1419
2012-03-01,2012,3,2,Habitação,Habitação,0.48,1419
2012-03-01,2012,3,3,Artigos de residência,Residência,-0.4,1419
2012-03-01,2012,3,4,Vestuário,Vestuário,-0.61,1419
2012-03-01,2012,3,5,Transportes,Transportes,0.16,1419
2012-03-01,2012,3,6,Saúde e cuidados pessoais,Saúde,0.38,1419
2012-03-01,2012,3,7,Despesas pessoais,Pessoais,0.55,1419
2012-03-01,2012,3,8,Educação,Educação,0.54,1419
2012-03-01,2012,3,9,Comunicação,Comunicação,-0.36,1419
2012-04-01,2012,4,1,Alimentação e bebidas,Alimentação,0.51,1419
2012-04-01,2012,4,2,Habitação,Habitação,0.8,1419
2012-04-01,2012,4,3,Artigos de residência,Residência,-0.79,1419
2012-04-01,2012,4,4,Vestuário,Vestuário,0.98,1419
2012-04-01,2012,4,5,Transportes,Transportes,0.1,1419
2012-04-01,2012,4,6,Saúde e cuidados pessoais,Saúde,0.96,1419
2012-04-01,2012,4,7,Despesas pessoais,Pessoais,2.23,1419
2012-04-01,2012,4,8,Educação,Educação,0.04,1419
2012-04-01,2012,4,9,Comunicação,Comunicação,0.46,1419
2012-05-01,2012,5,1,Alimentação e bebidas,Alimentação,0.73,1419
2012-05-01,2012,5,2,Habitação,Habitação,0.8,1419
2012-05-01,2012,5,3,Artigos de residência,Residência,0.17,1419
2012-05-01,2012,5,4,Vestuário,Vestuário,0.89,1419
2012-05-01,2012,5,5,Transportes,Transportes,-0.58,1419
2012-05-01,2012,5,6,Saúde e cuidados pessoais,Saúde,0.66,1419
2012-05-01,2012,5,7,Despesas pessoais,Pessoais,0.6,1419
2012-05-01,2012,5,8,Educação,Educação,-0.01,1419
2012-05-01,2012,5,9,Comunicação,Comunicação,-0.19,1419
2012-06-01,2012,6,1,Alimentação e bebidas,Alimentação,0.68,1419
2012-06-01,2012,6,2,Habitação,Habitação,0.28,1419
2012-06-01,2012,6,3,Artigos de residência,Residência,-0.03,1419
2012-06-01,2012,6,4,Vestuário,Vestuário,0.39,1419
2012-06-01,2012,6,5,Transportes,Transportes,-1.18,1419
2012-06-01,2012,6,6,Saúde e cuidados pessoais,Saúde,0.38,1419
2012-06-01,2012,6,7,Despesas pessoais,Pessoais,0.47,1419
2012-06-01,2012,6,8,Educação,Educação,0.06,1419
2012-06-01,2012,6,9,Comunicação,Comunicação,-0.01,1419
2012-07-01,2012,7,1,Alimentação e bebidas,Alimentação,0.91,1419
2012-07-01,2012,7,2,Habitação,Habitação,0.54,1419
2012-07-01,2012,7,3,Artigos de residência,Residência,-0.01,1419
2012-07-01,2012,7,4,Vestuário,Vestuário,0.04,1419
2012-07-01,2012,7,5,Transportes,Transportes,-0.03,1419
2012-07-01,2012,7,6,Saúde e cuidados pessoais,Saúde,0.36,1419
2012-07-01,2012,7,7,Despesas pessoais,Pessoais,0.91,1419
2012-07-01,2012,7,8,Educação,Educação,0.12,1419
2012-07-01,2012,7,9,Comunicação,Comunicação,0.15,1419
2012-08-01,2012,8,1,Alimentação e bebidas,Alimentação,0.88,1419
2012-08-01,2012,8,2,Habitação,Habitação,0.22,1419
2012-08-01,2012,8,3,Artigos de residência,Residência,0.4,1419
2012-08-01,2012,8,4,Vestuário,Vestuário,0.19,1419
2012-08-01,2012,8,5,Transportes,Transportes,0.06,1419
2012-08-01,2012,8,6,Saúde e cuidados pessoais,Saúde,0.53,1419
2012-08-01,2012,8,7,Despesas pessoais,Pessoais,0.42,1419
2012-08-01,2012,8,8,Educação,Educação,0.51,1419
2012-08-01,2012,8,9,Comunicação,Comunicação,-0.01,1419
2012-09-01,2012,9,1,Alimentação e bebidas,Alimentação,1.26,1419
