date,year,month,product_code,product_name,short_name,monthly_variation,source_table,theme
2006-07-01,2006,7,8,Educação,Educação,0.09,2938,education
2006-07-01,2006,7,11,Alimentação no domicílio,Alim. domicílio,0.08,2938,pantry
2006-07-01,2006,7,1107,Carnes,Carnes,0.13,2938,meat
2006-07-01,2006,7,1201,Alimentação fora do domicílio,Fora de casa,0.12,2938,restaurant
2006-07-01,2006,7,2202,Energia elétrica residencial,Energia,-0.73,2938,energy
2006-07-01,2006,7,6203,Plano de saúde,Plano saúde,0.79,2938,health
2006-07-01,2006,7,1101002,Arroz,Arroz,4.33,2938,rice
2006-07-01,2006,7,1101052,Feijão - preto,Feijão,-2.99,2938,beans
2006-07-01,2006,7,1102006,Macarrão,Macarrão,1.02,2938,pasta
2006-07-01,2006,7,1103003,Batata-inglesa,Batata,0.1,2938,potato
2006-07-01,2006,7,1103028,Tomate,Tomate,-18.66,2938,tomato
2006-07-01,2006,7,1110044,Ovo de galinha,Ovos,-1.19,2938,egg
2006-07-01,2006,7,1111004,Leite longa vida,Leite,0.34,2938,milk
2006-07-01,2006,7,1112015,Pão francês,Pão,-0.64,2938,bread
2006-07-01,2006,7,1113014,Azeite de oliva,Azeite,3.41,2938,oil
2006-07-01,2006,7,1114022,Café moído,Café,-0.94,2938,coffee
2006-07-01,2006,7,1114084,Cerveja,Cerveja,-0.25,2938,beer
2006-07-01,2006,7,2101001,Aluguel residencial,Aluguel,0.2,2938,rent
2006-07-01,2006,7,2101002,Condomínio,Condomínio,0.44,2938,condo
2006-07-01,2006,7,2101004,Taxa de água e esgoto,Água/esgoto,0.27,2938,water
2006-07-01,2006,7,2104008,Detergente,Detergente,0.69,2938,soap
2006-07-01,2006,7,2201004,Gás de botijão,Gás botijão,0.44,2938,gas_bottle
2006-07-01,2006,7,3202028,Computador pessoal,Computador,-1.33,2938,computer
2006-07-01,2006,7,5101001,Ônibus urbano,Ônibus,0,2938,bus
2006-07-01,2006,7,5101010,Passagem aérea,Aérea,0.63,2938,plane
2006-07-01,2006,7,5104001,Gasolina,Gasolina,0.81,2938,gas
2006-07-01,2006,7,5104002,Etanol,Etanol,1.04,2938,ethanol
2006-07-01,2006,7,5104003,Óleo diesel,Diesel,0.19,2938,diesel
2006-07-01,2006,7,7101010,Empregado doméstico,Doméstico,1.18,2938,domestic
2006-07-01,2006,7,7202041,Cigarro,Cigarro,0.3,2938,cigarette
2006-08-01,2006,8,8,Educação,Educação,-0.02,2938,education
2006-08-01,2006,8,11,Alimentação no domicílio,Alim. domicílio,-0.09,2938,pantry
2006-08-01,2006,8,1107,Carnes,Carnes,1.52,2938,meat
2006-08-01,2006,8,1201,Alimentação fora do domicílio,Fora de casa,0.37,2938,restaurant
2006-08-01,2006,8,2202,Energia elétrica residencial,Energia,-0.16,2938,energy
2006-08-01,2006,8,6203,Plano de saúde,Plano saúde,0.76,2938,health
2006-08-01,2006,8,1101002,Arroz,Arroz,2.03,2938,rice
2006-08-01,2006,8,1101052,Feijão - preto,Feijão,-4.26,2938,beans
2006-08-01,2006,8,1102006,Macarrão,Macarrão,0.53,2938,pasta
2006-08-01,2006,8,1103003,Batata-inglesa,Batata,-14.69,2938,potato
2006-08-01,2006,8,1103028,Tomate,Tomate,-13.11,2938,tomato
2006-08-01,2006,8,1110044,Ovo de galinha,Ovos,-1.16,2938,egg
2006-08-01,2006,8,1111004,Leite longa vida,Leite,-0.91,2938,milk
2006-08-01,2006,8,1112015,Pão francês,Pão,-0.32,2938,bread
2006-08-01,2006,8,1113014,Azeite de oliva,Azeite,-1.79,2938,oil
2006-08-01,2006,8,1114022,Café moído,Café,-0.59,2938,coffee
2006-08-01,2006,8,1114084,Cerveja,Cerveja,-0.19,2938,beer
2006-08-01,2006,8,2101001,Aluguel residencial,Aluguel,0.42,2938,rent
2006-08-01,2006,8,2101002,Condomínio,Condomínio,0.03,2938,condo
2006-08-01,2006,8,2101004,Taxa de água e esgoto,Água/esgoto,0.51,2938,water
2006-08-01,2006,8,2104008,Detergente,Detergente,-0.29,2938,soap
2006-08-01,2006,8,2201004,Gás de botijão,Gás botijão,0.31,2938,gas_bottle
2006-08-01,2006,8,3202028,Computador pessoal,Computador,-1.37,2938,computer
2006-08-01,2006,8,5101001,Ônibus urbano,Ônibus,0,2938,bus
2006-08-01,2006,8,5101010,Passagem aérea,Aérea,-1.97,2938,plane
2006-08-01,2006,8,5104001,Gasolina,Gasolina,-0.4,2938,gas
2006-08-01,2006,8,5104002,Etanol,Etanol,-0.8,2938,ethanol
2006-08-01,2006,8,5104003,Óleo diesel,Diesel,0.47,2938,diesel
2006-08-01,2006,8,7101010,Empregado doméstico,Doméstico,2.26,2938,domestic
2006-08-01,2006,8,7202041,Cigarro,Cigarro,0,2938,cigarette
2006-09-01,2006,9,8,Educação,Educação,-0.01,2938,education
2006-09-01,2006,9,11,Alimentação no domicílio,Alim. domicílio,0.1,2938,pantry
2006-09-01,2006,9,1107,Carnes,Carnes,2.32,2938,meat
2006-09-01,2006,9,1201,Alimentação fora do domicílio,Fora de casa,0.06,2938,restaurant
2006-09-01,2006,9,2202,Energia elétrica residencial,Energia,0.03,2938,energy
2006-09-01,2006,9,6203,Plano de saúde,Plano saúde,0.77,2938,health
2006-09-01,2006,9,1101002,Arroz,Arroz,-0.16,2938,rice
2006-09-01,2006,9,1101052,Feijão - preto,Feijão,-5.54,2938,beans
2006-09-01,2006,9,1102006,Macarrão,Macarrão,-0.55,2938,pasta
2006-09-01,2006,9,1103003,Batata-inglesa,Batata,-6.15,2938,potato
2006-09-01,2006,9,1103028,Tomate,Tomate,17.33,2938,tomato
2006-09-01,2006,9,1110044,Ovo de galinha,Ovos,-0.76,2938,egg
2006-09-01,2006,9,1111004,Leite longa vida,Leite,-0.89,2938,milk
2006-09-01,2006,9,1112015,Pão francês,Pão,-0.29,2938,bread
2006-09-01,2006,9,1113014,Azeite de oliva,Azeite,-2.4,2938,oil
2006-09-01,2006,9,1114022,Café moído,Café,0.53,2938,coffee
2006-09-01,2006,9,1114084,Cerveja,Cerveja,0.06,2938,beer
2006-09-01,2006,9,2101001,Aluguel residencial,Aluguel,0.44,2938,rent
2006-09-01,2006,9,2101002,Condomínio,Condomínio,0.47,2938,condo
2006-09-01,2006,9,2101004,Taxa de água e esgoto,Água/esgoto,1.89,2938,water
2006-09-01,2006,9,2104008,Detergente,Detergente,-0.08,2938,soap
2006-09-01,2006,9,2201004,Gás de botijão,Gás botijão,0.58,2938,gas_bottle
2006-09-01,2006,9,3202028,Computador pessoal,Computador,-0.22,2938,computer
2006-09-01,2006,9,5101001,Ônibus urbano,Ônibus,0,2938,bus
2006-09-01,2006,9,5101010,Passagem aérea,Aérea,0.31,2938,plane
2006-09-01,2006,9,5104001,Gasolina,Gasolina,-0.05,2938,gas
2006-09-01,2006,9,5104002,Etanol,Etanol,-3.76,2938,ethanol
2006-09-01,2006,9,5104003,Óleo diesel,Diesel,-0.03,2938,diesel
2006-09-01,2006,9,7101010,Empregado doméstico,Doméstico,1.97,2938,domestic
2006-09-01,2006,9,7202041,Cigarro,Cigarro,2.72,2938,cigarette
2006-10-01,2006,10,8,Educação,Educação,0.17,2938,education
2006-10-01,2006,10,11,Alimentação no domicílio,Alim. domicílio,0.98,2938,pantry
2006-10-01,2006,10,1107,Carnes,Carnes,4.51,2938,meat
2006-10-01,2006,10,1201,Alimentação fora do domicílio,Fora de casa,0.7,2938,restaurant
2006-10-01,2006,10,2202,Energia elétrica residencial,Energia,0.31,2938,energy
2006-10-01,2006,10,6203,Plano de saúde,Plano saúde,0.76,2938,health
2006-10-01,2006,10,1101002,Arroz,Arroz,0.72,2938,rice
2006-10-01,2006,10,1101052,Feijão - preto,Feijão,-1.99,2938,beans
2006-10-01,2006,10,1102006,Macarrão,Macarrão,-0.99,2938,pasta
2006-10-01,2006,10,1103003,Batata-inglesa,Batata,11.84,2938,potato
2006-10-01,2006,10,1103028,Tomate,Tomate,15.44,2938,tomato
2006-10-01,2006,10,1110044,Ovo de galinha,Ovos,0.07,2938,egg
2006-10-01,2006,10,1111004,Leite longa vida,Leite,-1.45,2938,milk
2006-10-01,2006,10,1112015,Pão francês,Pão,0.57,2938,bread
2006-10-01,2006,10,1113014,Azeite de oliva,Azeite,1.37,2938,oil
2006-10-01,2006,10,1114022,Café moído,Café,0.45,2938,coffee
2006-10-01,2006,10,1114084,Cerveja,Cerveja,-1.16,2938,beer
2006-10-01,2006,10,2101001,Aluguel residencial,Aluguel,0.16,2938,rent
2006-10-01,2006,10,2101002,Condomínio,Condomínio,0.54,2938,condo
2006-10-01,2006,10,2101004,Taxa de água e esgoto,Água/esgoto,0.13,2938,water
2006-10-01,2006,10,2104008,Detergente,Detergente,0.02,2938,soap
2006-10-01,2006,10,2201004,Gás de botijão,Gás botijão,-0.03,2938,gas_bottle
2006-10-01,2006,10,3202028,Computador pessoal,Computador,-1,2938,computer
2006-10-01,2006,10,5101001,Ônibus urbano,Ônibus,0,2938,bus
2006-10-01,2006,10,5101010,Passagem aérea,Aérea,-1.51,2938,plane
2006-10-01,2006,10,5104001,Gasolina,Gasolina,-0.11,2938,gas
2006-10-01,2006,10,5104002,Etanol,Etanol,-3.28,2938,ethanol
2006-10-01,2006,10,5104003,Óleo diesel,Diesel,-0.23,2938,diesel
2006-10-01,2006,10,7101010,Empregado doméstico,Doméstico,1.39,2938,domestic
2006-10-01,2006,10,7202041,Cigarro,Cigarro,1.31,2938,cigarette
2006-11-01,2006,11,8,Educação,Educação,0.03,2938,education
2006-11-01,2006,11,11,Alimentação no domicílio,Alim. domicílio,1.38,2938,pantry
2006-11-01,2006,11,1107,Carnes,Carnes,1.63,2938,meat
2006-11-01,2006,11,1201,Alimentação fora do domicílio,Fora de casa,0.43,2938,restaurant
2006-11-01,2006,11,2202,Energia elétrica residencial,Energia,-0.57,2938,energy
2006-11-01,2006,11,6203,Plano de saúde,Plano saúde,0.75,2938,health
2006-11-01,2006,11,1101002,Arroz,Arroz,5.32,2938,rice
2006-11-01,2006,11,1101052,Feijão - preto,Feijão,-1.14,2938,beans
2006-11-01,2006,11,1102006,Macarrão,Macarrão,0.94,2938,pasta
2006-11-01,2006,11,1103003,Batata-inglesa,Batata,-2.21,2938,potato
2006-11-01,2006,11,1103028,Tomate,Tomate,29.63,2938,tomato
2006-11-01,2006,11,1110044,Ovo de galinha,Ovos,0.76,2938,egg
2006-11-01,2006,11,1111004,Leite longa vida,Leite,-0.34,2938,milk
2006-11-01,2006,11,1112015,Pão francês,Pão,0.06,2938,bread
2006-11-01,2006,11,1113014,Azeite de oliva,Azeite,0.74,2938,oil
2006-11-01,2006,11,1114022,Café moído,Café,1.25,2938,coffee
2006-11-01,2006,11,1114084,Cerveja,Cerveja,0.4,2938,beer
2006-11-01,2006,11,2101001,Aluguel residencial,Aluguel,0.28,2938,rent
2006-11-01,2006,11,2101002,Condomínio,Condomínio,0.08,2938,condo
2006-11-01,2006,11,2101004,Taxa de água e esgoto,Água/esgoto,0,2938,water
2006-11-01,2006,11,2104008,Detergente,Detergente,-0.01,2938,soap
2006-11-01,2006,11,2201004,Gás de botijão,Gás botijão,0.13,2938,gas_bottle
2006-11-01,2006,11,3202028,Computador pessoal,Computador,-1.23,2938,computer
2006-11-01,2006,11,5101001,Ônibus urbano,Ônibus,0,2938,bus
2006-11-01,2006,11,5101010,Passagem aérea,Aérea,0.21,2938,plane
2006-11-01,2006,11,5104001,Gasolina,Gasolina,-0.17,2938,gas
2006-11-01,2006,11,5104002,Etanol,Etanol,-0.86,2938,ethanol
2006-11-01,2006,11,5104003,Óleo diesel,Diesel,0.02,2938,diesel
2006-11-01,2006,11,7101010,Empregado doméstico,Doméstico,0.43,2938,domestic
2006-11-01,2006,11,7202041,Cigarro,Cigarro,4.63,2938,cigarette
2006-12-01,2006,12,8,Educação,Educação,0.17,2938,education
2006-12-01,2006,12,11,Alimentação no domicílio,Alim. domicílio,0.22,2938,pantry
2006-12-01,2006,12,1107,Carnes,Carnes,-0.43,2938,meat
2006-12-01,2006,12,1201,Alimentação fora do domicílio,Fora de casa,0.72,2938,restaurant
2006-12-01,2006,12,2202,Energia elétrica residencial,Energia,-0.13,2938,energy
2006-12-01,2006,12,6203,Plano de saúde,Plano saúde,0.75,2938,health
2006-12-01,2006,12,1101002,Arroz,Arroz,4.44,2938,rice
2006-12-01,2006,12,1101052,Feijão - preto,Feijão,-1.07,2938,beans
2006-12-01,2006,12,1102006,Macarrão,Macarrão,0.11,2938,pasta
2006-12-01,2006,12,1103003,Batata-inglesa,Batata,-9.84,2938,potato
2006-12-01,2006,12,1103028,Tomate,Tomate,-16.17,2938,tomato
2006-12-01,2006,12,1110044,Ovo de galinha,Ovos,1.45,2938,egg
2006-12-01,2006,12,1111004,Leite longa vida,Leite,-0.45,2938,milk
2006-12-01,2006,12,1112015,Pão francês,Pão,0.11,2938,bread
2006-12-01,2006,12,1113014,Azeite de oliva,Azeite,-3.24,2938,oil
2006-12-01,2006,12,1114022,Café moído,Café,1.7,2938,coffee
2006-12-01,2006,12,1114084,Cerveja,Cerveja,-0.47,2938,beer
2006-12-01,2006,12,2101001,Aluguel residencial,Aluguel,0.3,2938,rent
2006-12-01,2006,12,2101002,Condomínio,Condomínio,0.81,2938,condo
2006-12-01,2006,12,2101004,Taxa de água e esgoto,Água/esgoto,0,2938,water
2006-12-01,2006,12,2104008,Detergente,Detergente,0.45,2938,soap
2006-12-01,2006,12,2201004,Gás de botijão,Gás botijão,0.29,2938,gas_bottle
2006-12-01,2006,12,3202028,Computador pessoal,Computador,-1.36,2938,computer
2006-12-01,2006,12,5101001,Ônibus urbano,Ônibus,4.61,2938,bus
2006-12-01,2006,12,5101010,Passagem aérea,Aérea,-0.1,2938,plane
2006-12-01,2006,12,5104001,Gasolina,Gasolina,-0.41,2938,gas
2006-12-01,2006,12,5104002,Etanol,Etanol,-0.78,2938,ethanol
